"name","avg_salary","eFG","PER","tot_games","draft_round"
"Jason Hart",1.20074477777778,"43.9","12.2",341,2
"Trenton Hassell",3.81981128571429,"45.9","8.4",644,2
"Spencer Hawes",4.34291336363636,"49.0","14.0",684,1
"Jarvis Hayes",1.91095528571429,"47.4","10.8",427,1
"Gordon Hayward",10.875974125,"50.3","17.5",589,1
"Brendan Haywood",4.48541807142857,"52.8","14.6",816,1
"Luther Head",1.16438983333333,"51.5","12.3",348,1
"Gerald Henderson",4.156983,"46.4","13.4",535,1
"John Henson",5.4332205,"54.2","17.1",405,1
"Roy Hibbert",7.85379577777778,"46.5","15.5",662,1
"J.J. Hickson",3.01708044444444,"50.5","16.1",534,1
"George Hill",6.53314,"52.2","14.9",726,1
"Grant Hill",7.89679,"49.2","19.0",1026,1
"Jordan Hill",4.014508375,"49.7","16.3",409,1
"Solomon Hill",5.4772306,"46.7","9.0",305,1
"Kirk Hinrich",5.51478984615385,"48.0","12.8",879,1
"Jrue Holiday",8.24946255555556,"49.8","16.9",652,1
"Ryan Hollins",1.219542,"58.4","11.0",518,2
"Al Horford",11.9817747272727,"54.6","18.9",786,1
"Robert Horry",3.109,"48.4","13.4",1107,1
"Eddie House",1.41536866666667,"49.0","13.2",717,2
"Josh Howard",4.0442778,"47.6","16.7",507,1
"Juwan Howard",3.58996941666667,"46.9","14.6",1208,1
"Larry Hughes",9.132647875,"43.5","14.9",727,1
"Kris Humphries",4.44201842857143,"46.9","15.4",800,1
"Lindsey Hunter",1.90141828571429,"45.8","12.1",937,1
"Steven Hunter",2.47278075,"56.0","13.0",400,1
"Andre Iguodala",9.72421957142857,"51.3","15.7",1108,1
"Kyrie Irving",10.6578597142857,"52.5","22.1",508,1
"Allen Iverson",12.850850625,"45.2","20.9",914,1
"Royal Ivey",0.907274222222222,"45.9","8.4",492,2
"Jarrett Jack",3.16206253333333,"48.0","14.1",867,1
"Bobby Jackson",4.47781466666667,"47.0","15.2",755,1
"Reggie Jackson",7.26009314285714,"47.9","16.1",530,1
"Stephen Jackson",6.70195,"47.1","14.3",858,2
"Jerome James",5.63654285714286,"48.5","10.6",358,2
"Antawn Jamison",11.0879518181818,"48.5","18.1",1083,1
"Richard Jefferson",7.0717075,"51.1","14.4",1181,1
"Jared Jeffries",3.8933705,"44.0","9.6",629,1
"John Jenkins",1.0454242,"52.4","11.7",171,1
"Anthony Johnson",2.14338271428571,"45.4","11.2",793,2
"James Johnson",3.86335075,"51.4","14.5",602,1
"Joe Johnson",12.7472003529412,"49.7","15.4",1276,1
"Wesley Johnson",3.315660375,"48.1","10.0",609,1
"Dahntay Jones",1.38594084615385,"45.9","9.5",624,1
"Eddie Jones",8.51292457142857,"50.5","16.7",954,1
"Fred Jones",2.07164233333333,"47.6","11.3",430,1
"James Jones",1.98735653846154,"53.0","11.3",709,2
"Solomon Jones",0.823133428571429,"46.7","10.2",281,2
"Terrence Jones",1.40541133333333,"52.4","17.1",234,1
"DeAndre Jordan",10.8487889,"67.0","18.5",819,2
"Cory Joseph",3.891163,"48.0","12.5",528,1
"Chris Kaman",6.65595138461538,"48.9","14.9",735,1
"Jason Kapono",3.16589144444444,"51.7","10.5",509,2
"Jason Kidd",13.33935,"46.4","17.9",1391,1
"Michael Kidd-Gilchrist",7.79348733333333,"48.1","13.7",421,1
"Linas Kleiza",2.69436757142857,"50.2","12.4",409,1
"Brandon Knight",7.12739385714286,"47.6","13.9",421,1
"Brevin Knight",3.08875766666667,"41.4","14.9",729,1
"Kyle Korver",4.60983033333333,"57.4","12.8",1174,2
"Kosta Koufos",3.8839292,"53.4","15.4",686,1
"Raef LaFrentz",10.86865,"51.6","16.1",563,1
"Jeremy Lamb",3.813224,"50.2","16.1",435,1
"Carl Landry",4.7927163,"53.6","17.5",513,2
"Acie Law",1.4148014,"43.4","9.9",188,1
"Ty Lawson",4.3559556,"50.4","17.2",551,1
"Courtney Lee",5.0414703,"51.6","12.2",787,1
"David Lee",7.28904584615385,"53.6","19.1",829,1
"Kawhi Leonard",8.76892385714286,"54.8","22.6",467,1
"Meyers Leonard",4.8100765,"55.6","12.3",393,1
"Jon Leuer",4.1212625,"51.5","14.5",377,2
"DeAndre Liggins",0.631678833333333,"46.9","7.3",177,2
"Damian Lillard",10.7211081666667,"51.0","21.4",549,1
"Brook Lopez",11.7704487,"52.1","19.9",717,1
