"name","avg_salary","eFG","PER","tot_games","draft_round"
"Stacey King",1.12875,"47.9","11.9",438,1
"Greg Kite",0.730833333333333,"43.8","6.5",680,1
"Kerry Kittles",4.63006216666667,"49.3","16.0",507,1
"Joe Kleine",0.8689375,"45.4","10.5",965,1
"Brevin Knight",2.40508,"41.4","14.9",729,1
"Negele Knight",0.431583333333333,"44.4","11.3",276,2
"Travis Knight",2.37,"44.4","11.4",371,1
"Jon Koncak",1.83611111111111,"47.3","9.8",784,1
"Larry Krystkowiak",0.475571428571429,"45.8","12.0",420,2
"Christian Laettner",4.41975,"48.6","16.9",868,1
"Andrew Lang",1.43981818181818,"47.1","11.7",737,2
"Eric Leckner",0.375071428571429,"50.8","9.8",449,1
"Voshon Lenard",2.79834133333333,"49.4","13.8",565,2
"Fat Lever",1.56966666666667,"45.5","17.8",752,1
"Todd Lichti",0.492036,"46.6","12.2",237,1
"Alton Lister",0.872583333333333,"51.2","12.9",953,1
"Randy Livingston",0.26784,"42.9","10.0",203,2
"Brad Lohaus",0.769,"49.6","12.3",656,2
"Grant Long",1.62404884615385,"47.2","13.3",1003,2
"Luc Longley",3.26226363636364,"46.2","11.8",567,1
"George Lynch",1.78833333333333,"46.2","12.8",774,1
"Don MacLean",1.45757727272727,"46.5","15.1",319,1
"Mark Macon",1.5002,"39.4","8.9",251,1
"Rick Mahorn",0.667,"49.3","11.6",1117,2
"Dan Majerle",2.17961538461538,"50.5","13.8",955,1
"Jeff Malone",1.62270825,"48.7","15.2",905,1
"Karl Malone",6.00881271428571,"51.8","23.9",1476,1
"Danny Manning",3.91971106666667,"51.3","16.9",883,1
"Stephon Marbury",6.18755333333333,"47.0","18.7",846,1
"Donyell Marshall",4.2425,"48.3","16.8",957,1
"Jamal Mashburn",4.44151488888889,"45.6","15.7",611,1
"Tony Massenburg",0.738,"47.0","11.9",683,2
"Vernon Maxwell",0.995923076923077,"46.2","12.7",855,2
"Lee Mayberry",0.990714285714286,"49.8","10.1",496,1
"Walter McCarty",1.81376,"47.4","10.1",593,1
"George McCloud",1.264225,"47.7","12.7",766,1
"Tim McCormick",0.668333333333333,"53.5","12.8",483,1
"Xavier McDaniel",1.544,"48.9","16.1",870,1
"Antonio McDyess",7.00494857142857,"49.7","17.2",1015,1
"Kevin McHale",2.18,"55.5","20.0",971,1
"Jim McIlvaine",3.465625,"44.7","10.0",401,2
"Derrick McKey",2.87123076923077,"49.8","13.9",937,1
"Aaron McKie",1.58025,"47.5","12.8",793,1
"Nate McMillan",1.14777777777778,"47.9","14.5",796,2
"Ron Mercer",3.674032,"43.4","12.5",432,1
"Anthony Miller",0.252875,"51.3","13.6",181,2
"Oliver Miller",0.922642857142857,"53.5","15.2",493,1
"Reggie Miller",5.82479038461539,"54.4","18.4",1389,1
"Chris Mills",2.75222222222222,"47.1","13.3",568,1
"Terry Mills",1.33225,"50.0","14.7",678,1
"Greg Minor",1.88214285714286,"48.5","12.9",277,1
"Eric Montross",1.64,"49.0","9.1",465,1
"Chris Morris",1.638,"47.5","15.1",747,1
"Alonzo Mourning",9.83244,"52.9","21.2",838,1
"Chris Mullin",2.79461428571429,"54.0","18.8",986,1
"Eric Murdock",1.23858333333333,"47.3","17.4",508,1
"Lamond Murray",2.95375,"46.6","14.1",736,1
"Tracy Murray",1.8378,"50.4","14.6",659,1
"Dikembe Mutombo",7.64883872727273,"51.8","17.2",1196,1
"Larry Nance",1.673,"54.6","19.9",920,1
"Steve Nash",3.31835333333333,"55.6","20.0",1217,1
"Johnny Newman",1.16185714285714,"49.2","12.9",1159,2
"Ken Norman",1.90136363636364,"50.1","14.5",646,1
"Shaquille O'Neal",11.3828288,"58.2","26.4",1207,1
"Charles Oakley",3.2055,"47.4","13.4",1282,1
"Hakeem Olajuwon",6.79679328571429,"51.3","23.6",1238,1
"Brian Oliver",0.3946,"39.4","8.1",118,2
"Greg Ostertag",3.34067542857143,"48.6","13.1",756,1
"Doug Overton",0.41047,"43.8","10.0",499,2
"Billy Owens",2.60102,"48.8","14.4",600,1
"Robert Parish",2.3626333,"53.7","19.2",1611,1
"Cherokee Parks",1.44164142857143,"47.2","12.0",472,1
"John Paxson",0.862,"52.8","12.0",772,1
"Gary Payton",6.59074616666667,"49.6","18.9",1335,1
